CapShape,CapSurface,CapColor,Bruises,Odor,GillAttachment,GillSpacing,GillSize,GillColor,StalkShape,StalkRoot,StalkSurfaceAboveRing,StalkSurfaceBelowRing,StalkColorAboveRing,StalkColorBelowRing,VeilType,VeilColor,RingNumber,RingType,SporePrintColor,Population,Habitat,Class
flat,fibrous,gray,False,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,buff,partial,white,one,large,chocolate,several,woods,poisonous
flat,fibrous,gray,True,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,solitary,woods,edible
convex,fibrous,gray,False,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,pink,partial,white,one,large,chocolate,several,grasses,poisonous
convex,scaly,red,False,foul,free,close,narrow,buff,tapering,Missing[],silky,silky,white,white,partial,white,one,evanescent,white,several,leaves,poisonous
convex,fibrous,red,True,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,black,solitary,woods,edible
convex,smooth,gray,False,creosote,free,close,narrow,purple,enlarging,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods,poisonous
knobbed,scaly,brown,False,none,free,crowded,narrow,white,enlarging,bulbous,fibrous,smooth,white,brown,partial,white,one,evanescent,white,several,leaves,edible
convex,smooth,white,True,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods,edible
flat,fibrous,brown,False,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,abundant,grasses,edible
convex,smooth,white,False,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,abundant,grasses,edible
knobbed,smooth,gray,False,none,free,crowded,broad,pink,enlarging,Missing[],silky,silky,white,white,partial,white,two,pendant,white,scattered,grasses,edible
convex,scaly,brown,True,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,woods,edible
convex,scaly,gray,True,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,brown,several,woods,edible
convex,smooth,brown,False,foul,free,close,narrow,buff,tapering,Missing[],silky,smooth,pink,pink,partial,white,one,evanescent,white,several,leaves,poisonous
convex,fibrous,gray,True,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,brown,solitary,woods,edible
convex,fibrous,gray,True,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,black,several,woods,edible
convex,smooth,red,False,fishy,free,close,narrow,buff,tapering,Missing[],smooth,smooth,pink,pink,partial,white,one,evanescent,white,several,woods,poisonous
flat,scaly,red,False,foul,free,close,narrow,buff,tapering,Missing[],smooth,smooth,white,pink,partial,white,one,evanescent,white,several,paths,poisonous
flat,fibrous,gray,True,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,brown,solitary,woods,edible
convex,smooth,gray,False,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses,edible
convex,fibrous,brown,True,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,several,woods,edible
flat,smooth,red,False,fishy,free,close,narrow,buff,tapering,Missing[],silky,smooth,white,white,partial,white,one,evanescent,white,several,woods,poisonous
flat,scaly,gray,False,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,brown,partial,white,one,large,chocolate,solitary,paths,poisonous
convex,scaly,red,True,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,brown,solitary,woods,edible
flat,smooth,gray,False,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,abundant,grasses,edible
convex,fibrous,brown,False,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses,edible
knobbed,fibrous,brown,False,none,free,crowded,narrow,white,enlarging,bulbous,smooth,smooth,white,brown,partial,white,one,evanescent,white,several,leaves,edible
flat,smooth,red,False,fishy,free,close,narrow,buff,tapering,Missing[],silky,smooth,white,white,partial,white,one,evanescent,white,several,paths,poisonous
convex,smooth,brown,False,foul,free,close,narrow,buff,tapering,Missing[],smooth,smooth,white,pink,partial,white,one,evanescent,white,several,woods,poisonous
convex,fibrous,pink,False,creosote,free,crowded,narrow,gray,enlarging,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,several,woods,poisonous
convex,scaly,gray,True,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,woods,edible
flat,scaly,red,False,spicy,free,close,narrow,buff,tapering,Missing[],smooth,silky,pink,pink,partial,white,one,evanescent,white,several,leaves,poisonous
convex,scaly,brown,False,fishy,free,close,narrow,buff,tapering,Missing[],silky,silky,white,white,partial,white,one,evanescent,white,several,leaves,poisonous
convex,fibrous,white,False,creosote,free,close,narrow,purple,enlarging,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods,poisonous
convex,fibrous,brown,True,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,brown,solitary,woods,edible
convex,scaly,brown,True,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses,poisonous
knobbed,scaly,brown,False,fishy,free,close,narrow,buff,tapering,Missing[],silky,silky,white,white,partial,white,one,evanescent,white,several,leaves,poisonous
flat,scaly,brown,True,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,scattered,grasses,edible
flat,scaly,yellow,False,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,pink,partial,white,one,large,chocolate,several,woods,poisonous
flat,fibrous,red,True,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,brown,solitary,woods,edible
flat,scaly,brown,True,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,black,scattered,grasses,edible
flat,scaly,brown,True,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,woods,edible
flat,fibrous,white,False,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses,edible
knobbed,smooth,brown,False,foul,free,close,narrow,buff,tapering,Missing[],smooth,silky,white,pink,partial,white,one,evanescent,white,several,paths,poisonous
flat,scaly,gray,False,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,pink,pink,partial,white,one,large,chocolate,several,grasses,poisonous
flat,scaly,yellow,False,none,free,crowded,narrow,yellow,enlarging,club,scaly,scaly,yellow,yellow,partial,yellow,one,evanescent,white,clustered,leaves,poisonous
convex,scaly,gray,False,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,pink,partial,white,one,large,chocolate,several,woods,poisonous
convex,fibrous,brown,True,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,black,several,woods,edible
flat,scaly,brown,True,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,black,solitary,woods,edible
convex,smooth,brown,False,fishy,free,close,narrow,buff,tapering,Missing[],silky,silky,pink,white,partial,white,one,evanescent,white,several,paths,poisonous
convex,fibrous,gray,False,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,solitary,urban,edible
flat,fibrous,yellow,False,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,buff,partial,white,one,large,chocolate,solitary,grasses,poisonous
knobbed,smooth,red,False,foul,free,close,narrow,buff,tapering,Missing[],smooth,silky,pink,white,partial,white,one,evanescent,white,several,woods,poisonous
convex,smooth,gray,False,creosote,free,close,narrow,pink,enlarging,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods,poisonous
knobbed,smooth,red,False,spicy,free,close,narrow,buff,tapering,Missing[],silky,silky,pink,white,partial,white,one,evanescent,white,several,leaves,poisonous
flat,scaly,brown,False,spicy,free,close,narrow,buff,tapering,Missing[],silky,smooth,white,pink,partial,white,one,evanescent,white,several,woods,poisonous
flat,smooth,gray,True,foul,free,close,broad,pink,tapering,bulbous,fibrous,smooth,white,white,partial,white,one,pendant,chocolate,several,grasses,poisonous
convex,scaly,red,False,fishy,free,close,narrow,buff,tapering,Missing[],silky,smooth,white,pink,partial,white,one,evanescent,white,several,paths,poisonous
flat,fibrous,brown,True,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,brown,several,woods,edible
flat,scaly,red,True,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,solitary,woods,edible
flat,scaly,brown,True,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,grasses,poisonous
convex,scaly,red,True,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,brown,several,woods,edible
convex,scaly,yellow,False,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,buff,partial,white,one,large,chocolate,several,grasses,poisonous
convex,fibrous,brown,True,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,black,solitary,woods,edible
bell,scaly,white,True,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows,edible
flat,fibrous,white,True,almond,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods,edible
knobbed,scaly,brown,False,foul,free,close,narrow,buff,tapering,Missing[],silky,silky,pink,pink,partial,white,one,evanescent,white,several,paths,poisonous
flat,smooth,red,False,fishy,free,close,narrow,buff,tapering,Missing[],smooth,silky,white,pink,partial,white,one,evanescent,white,several,leaves,poisonous
convex,scaly,yellow,False,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,brown,partial,white,one,large,chocolate,solitary,woods,poisonous
convex,fibrous,red,True,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,black,several,woods,edible
convex,smooth,brown,False,foul,free,close,narrow,buff,tapering,Missing[],smooth,smooth,white,white,partial,white,one,evanescent,white,several,leaves,poisonous
flat,scaly,gray,False,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,pink,partial,white,one,large,chocolate,several,grasses,poisonous
convex,smooth,brown,False,spicy,free,close,narrow,buff,tapering,Missing[],smooth,silky,white,pink,partial,white,one,evanescent,white,several,paths,poisonous
knobbed,scaly,red,False,foul,free,close,narrow,buff,tapering,Missing[],silky,silky,pink,pink,partial,white,one,evanescent,white,several,paths,poisonous
convex,fibrous,red,True,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,solitary,woods,edible
flat,smooth,red,False,spicy,free,close,narrow,buff,tapering,Missing[],silky,smooth,white,white,partial,white,one,evanescent,white,several,leaves,poisonous
flat,smooth,brown,True,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,urban,poisonous
flat,scaly,gray,False,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,buff,partial,white,one,large,chocolate,solitary,grasses,poisonous
flat,scaly,gray,False,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,pink,partial,white,one,large,chocolate,solitary,grasses,poisonous
flat,scaly,gray,False,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,brown,buff,partial,white,one,large,chocolate,several,woods,poisonous
flat,smooth,brown,False,fishy,free,close,narrow,buff,tapering,Missing[],smooth,smooth,white,pink,partial,white,one,evanescent,white,several,woods,poisonous
convex,scaly,yellow,False,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,brown,partial,white,one,large,chocolate,several,woods,poisonous
flat,fibrous,gray,False,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,buff,partial,white,one,large,chocolate,solitary,grasses,poisonous
convex,smooth,pink,True,none,free,close,broad,white,enlarging,bulbous,smooth,smooth,white,white,partial,white,two,pendant,white,solitary,paths,edible
knobbed,fibrous,gray,False,none,free,crowded,broad,pink,enlarging,Missing[],silky,smooth,white,white,partial,white,two,pendant,white,scattered,grasses,edible
flat,smooth,gray,True,foul,free,close,broad,chocolate,tapering,bulbous,fibrous,fibrous,white,white,partial,white,one,pendant,chocolate,scattered,grasses,poisonous
flat,grooves,white,True,none,free,crowded,narrow,white,enlarging,bulbous,smooth,smooth,white,white,partial,white,one,pendant,white,clustered,leaves,poisonous
bell,smooth,white,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,meadows,edible
knobbed,smooth,brown,False,spicy,free,close,narrow,buff,tapering,Missing[],smooth,silky,white,white,partial,white,one,evanescent,white,several,woods,poisonous
convex,smooth,white,False,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses,edible
convex,smooth,gray,False,none,free,crowded,broad,pink,enlarging,Missing[],smooth,silky,white,white,partial,white,two,pendant,white,numerous,grasses,edible
convex,scaly,white,False,none,free,close,narrow,pink,enlarging,Missing[],smooth,fibrous,white,white,partial,white,one,flaring,chocolate,solitary,woods,edible
convex,scaly,purple,False,none,free,close,narrow,pink,enlarging,Missing[],smooth,fibrous,white,white,partial,white,one,flaring,chocolate,solitary,woods,edible
convex,smooth,gray,False,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,edible
convex,smooth,white,True,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,grasses,poisonous
convex,smooth,white,True,foul,free,close,broad,white,tapering,bulbous,fibrous,smooth,white,white,partial,white,one,pendant,chocolate,several,grasses,poisonous
convex,scaly,yellow,True,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,scattered,paths,edible
flat,fibrous,yellow,False,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,brown,partial,white,one,large,chocolate,solitary,paths,poisonous
convex,smooth,white,False,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,edible
knobbed,scaly,red,False,foul,free,close,narrow,buff,tapering,Missing[],smooth,smooth,pink,pink,partial,white,one,evanescent,white,several,woods,poisonous
flat,scaly,red,False,fishy,free,close,narrow,buff,tapering,Missing[],smooth,smooth,white,pink,partial,white,one,evanescent,white,several,paths,poisonous
flat,smooth,white,True,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,grasses,poisonous
knobbed,scaly,red,False,foul,free,close,narrow,buff,tapering,Missing[],smooth,smooth,white,white,partial,white,one,evanescent,white,several,paths,poisonous
flat,fibrous,brown,True,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,brown,several,woods,edible
convex,fibrous,white,False,creosote,free,crowded,narrow,purple,enlarging,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,woods,poisonous
convex,fibrous,white,False,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses,edible
convex,fibrous,white,False,none,free,crowded,broad,gray,enlarging,Missing[],silky,silky,white,white,partial,white,two,pendant,white,scattered,grasses,edible
flat,smooth,brown,True,none,free,close,broad,white,enlarging,Missing[],smooth,smooth,red,red,partial,white,two,evanescent,white,clustered,waste,edible
flat,scaly,brown,False,spicy,free,close,narrow,buff,tapering,Missing[],smooth,smooth,white,pink,partial,white,one,evanescent,white,several,leaves,poisonous
convex,smooth,gray,True,foul,free,close,broad,white,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,chocolate,several,grasses,poisonous
flat,scaly,brown,False,foul,free,close,narrow,buff,tapering,Missing[],silky,silky,white,white,partial,white,one,evanescent,white,several,paths,poisonous
knobbed,fibrous,gray,False,none,free,crowded,broad,pink,enlarging,Missing[],smooth,smooth,white,white,partial,white,two,pendant,white,numerous,grasses,edible
convex,fibrous,gray,True,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,brown,several,woods,edible
convex,scaly,white,True,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses,poisonous
flat,smooth,buff,True,foul,free,close,broad,chocolate,tapering,bulbous,fibrous,smooth,white,white,partial,white,one,pendant,chocolate,several,urban,poisonous
flat,fibrous,brown,False,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses,edible
convex,smooth,gray,False,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses,edible
convex,smooth,brown,False,none,attached,close,broad,yellow,enlarging,Missing[],smooth,smooth,orange,orange,partial,orange,one,pendant,yellow,several,leaves,edible
convex,fibrous,gray,False,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses,edible
flat,smooth,brown,False,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,abundant,grasses,edible
flat,scaly,brown,True,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,brown,solitary,woods,edible
convex,fibrous,gray,False,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,pink,partial,white,one,large,chocolate,solitary,grasses,poisonous
knobbed,smooth,brown,False,spicy,free,close,narrow,buff,tapering,Missing[],smooth,smooth,white,white,partial,white,one,evanescent,white,several,paths,poisonous
knobbed,scaly,red,False,spicy,free,close,narrow,buff,tapering,Missing[],silky,silky,pink,pink,partial,white,one,evanescent,white,several,leaves,poisonous
convex,smooth,brown,False,foul,free,close,narrow,buff,tapering,Missing[],smooth,silky,pink,white,partial,white,one,evanescent,white,several,woods,poisonous
flat,fibrous,white,False,none,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses,edible
convex,scaly,red,False,foul,free,close,narrow,buff,tapering,Missing[],silky,smooth,white,pink,partial,white,one,evanescent,white,several,leaves,poisonous
convex,scaly,brown,False,foul,free,close,narrow,buff,tapering,Missing[],smooth,smooth,white,white,partial,white,one,evanescent,white,several,paths,poisonous
convex,smooth,pink,True,none,free,close,broad,white,enlarging,bulbous,smooth,smooth,white,white,partial,white,two,pendant,white,several,paths,edible
knobbed,smooth,red,False,fishy,free,close,narrow,buff,tapering,Missing[],smooth,smooth,pink,pink,partial,white,one,evanescent,white,several,paths,poisonous
convex,scaly,red,True,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,black,several,woods,edible
flat,smooth,buff,True,foul,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,chocolate,scattered,grasses,poisonous
flat,fibrous,gray,False,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,buff,partial,white,one,large,chocolate,several,grasses,poisonous
convex,smooth,brown,False,fishy,free,close,narrow,buff,tapering,Missing[],silky,smooth,pink,pink,partial,white,one,evanescent,white,several,paths,poisonous
bell,smooth,white,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows,edible
convex,scaly,gray,False,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,buff,partial,white,one,large,chocolate,solitary,grasses,poisonous
convex,scaly,red,False,foul,free,close,narrow,buff,tapering,Missing[],smooth,smooth,white,white,partial,white,one,evanescent,white,several,leaves,poisonous
convex,scaly,yellow,False,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,pink,brown,partial,white,one,large,chocolate,several,paths,poisonous
convex,fibrous,brown,True,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods,edible
convex,smooth,white,False,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,abundant,grasses,edible
convex,fibrous,red,True,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,several,woods,edible
convex,smooth,white,False,creosote,free,crowded,narrow,brown,enlarging,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,woods,poisonous
flat,scaly,red,True,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,black,several,woods,edible
bell,smooth,white,False,none,free,crowded,broad,pink,enlarging,Missing[],silky,silky,white,white,partial,white,two,pendant,white,numerous,grasses,edible
bell,fibrous,white,False,none,free,crowded,broad,pink,enlarging,Missing[],silky,smooth,white,white,partial,white,two,pendant,white,scattered,grasses,edible
flat,fibrous,gray,False,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,brown,buff,partial,white,one,large,chocolate,several,grasses,poisonous
bell,scaly,white,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,grasses,edible
convex,fibrous,gray,False,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,pink,partial,white,one,large,chocolate,several,woods,poisonous
bell,smooth,white,True,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses,edible
convex,smooth,brown,False,foul,free,close,narrow,buff,tapering,Missing[],silky,smooth,white,pink,partial,white,one,evanescent,white,several,woods,poisonous
convex,fibrous,gray,True,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,brown,solitary,woods,edible
bell,smooth,brown,False,none,attached,close,broad,brown,enlarging,Missing[],smooth,smooth,orange,orange,partial,brown,one,pendant,orange,clustered,leaves,edible
flat,fibrous,gray,True,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,brown,solitary,woods,edible
flat,fibrous,red,True,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,brown,several,woods,edible
convex,smooth,gray,False,none,free,crowded,broad,pink,enlarging,Missing[],silky,smooth,white,white,partial,white,two,pendant,white,scattered,grasses,edible
flat,smooth,brown,False,foul,free,close,narrow,buff,tapering,Missing[],smooth,smooth,white,white,partial,white,one,evanescent,white,several,woods,poisonous
convex,scaly,yellow,False,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,pink,pink,partial,white,one,large,chocolate,solitary,paths,poisonous
convex,smooth,gray,True,foul,free,close,broad,white,tapering,bulbous,fibrous,smooth,white,white,partial,white,one,pendant,chocolate,several,urban,poisonous
knobbed,scaly,brown,False,fishy,free,close,narrow,buff,tapering,Missing[],silky,smooth,pink,white,partial,white,one,evanescent,white,several,leaves,poisonous
flat,scaly,gray,False,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,pink,partial,white,one,large,chocolate,several,woods,poisonous
knobbed,smooth,brown,False,foul,free,close,narrow,buff,tapering,Missing[],smooth,silky,white,pink,partial,white,one,evanescent,white,several,woods,poisonous
flat,smooth,gray,False,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses,edible
flat,smooth,yellow,True,anise,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods,edible
bell,smooth,white,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,grasses,edible
convex,fibrous,white,False,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses,edible
knobbed,smooth,red,False,spicy,free,close,narrow,buff,tapering,Missing[],smooth,smooth,pink,white,partial,white,one,evanescent,white,several,paths,poisonous
convex,fibrous,brown,False,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,edible
flat,scaly,brown,False,foul,free,close,narrow,buff,tapering,Missing[],silky,silky,pink,pink,partial,white,one,evanescent,white,several,leaves,poisonous
convex,fibrous,gray,False,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,buff,partial,white,one,large,chocolate,solitary,paths,poisonous
flat,smooth,white,False,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,abundant,grasses,edible
knobbed,smooth,red,False,foul,free,close,narrow,buff,tapering,Missing[],silky,smooth,white,pink,partial,white,one,evanescent,white,several,paths,poisonous
convex,smooth,red,False,spicy,free,close,narrow,buff,tapering,Missing[],silky,silky,pink,pink,partial,white,one,evanescent,white,several,woods,poisonous
flat,fibrous,yellow,False,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,buff,partial,white,one,large,chocolate,solitary,grasses,poisonous
convex,scaly,brown,False,spicy,free,close,narrow,buff,tapering,Missing[],silky,smooth,pink,white,partial,white,one,evanescent,white,several,woods,poisonous
convex,fibrous,red,True,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,black,solitary,woods,edible
convex,scaly,gray,False,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,buff,partial,white,one,large,chocolate,several,grasses,poisonous
knobbed,smooth,brown,False,foul,free,close,narrow,buff,tapering,Missing[],silky,smooth,pink,white,partial,white,one,evanescent,white,several,leaves,poisonous
convex,scaly,brown,True,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,scattered,paths,edible
convex,smooth,gray,False,none,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses,edible
flat,smooth,red,False,foul,free,close,narrow,buff,tapering,Missing[],smooth,smooth,pink,pink,partial,white,one,evanescent,white,several,leaves,poisonous
flat,fibrous,gray,True,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods,edible
convex,scaly,brown,True,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,black,solitary,woods,edible
convex,fibrous,brown,True,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,black,several,woods,edible
convex,scaly,red,True,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,brown,solitary,woods,edible
flat,fibrous,white,False,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,scattered,grasses,edible
convex,smooth,gray,False,creosote,free,close,narrow,pink,enlarging,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,woods,poisonous
convex,scaly,red,False,foul,free,close,narrow,buff,tapering,Missing[],silky,silky,white,pink,partial,white,one,evanescent,white,several,woods,poisonous
flat,fibrous,brown,True,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,black,several,woods,edible
convex,fibrous,white,False,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses,edible
convex,smooth,gray,True,foul,free,close,broad,white,tapering,bulbous,fibrous,smooth,white,white,partial,white,one,pendant,chocolate,scattered,grasses,poisonous
convex,fibrous,white,True,almond,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods,edible
flat,scaly,gray,True,none,free,close,broad,white,enlarging,bulbous,smooth,smooth,white,white,partial,white,two,pendant,white,solitary,paths,edible
bell,smooth,white,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,meadows,edible
